complaint_text,priority
"Water leakage in the bathroom causing flooding",High
"Hostel room fan not working properly",Medium
"Street lights near the college are not functioning",Medium
"Garbage not being collected for the last 3 days",Low
"Electricity fluctuation damaging appliances",High
"WiFi not working in the hostel",High
"Classroom projector is broken",Medium
"Broken bench in classroom",Low
"AC not cooling in computer lab",High
"Washroom tap broken on first floor",Medium
"Canteen food quality is very poor",High
"Bus did not arrive on time",Low
"Printer in library is not working",Medium
"Water cooler not dispensing cold water",Low
"Unauthorized persons entering campus",High
"Very slow internet speed during evening",Medium
"Loud noise near hostel disturbing study",Low
"Attendance system not recording properly",High
"Lift not working in academic block",High
"Broken window in classroom",Low
"Chemistry lab equipment missing",Medium
"Computer lab systems not updated",Low
"Library AC switched off frequently",Medium
"Security guard misbehaving with students",High
"Parking area overcrowded",Low
"Sports room equipment damaged",Medium
"Hostel water heater not working",High
"Washroom has no handwash or tissues",Low
"Exam time-table uploaded late",Low
"Classroom lights flickering constantly",Medium
"Fan making loud noise in classroom",Low
"Mess staff behaving rudely",High
"Hostel gate closing too early",Medium
"Room key not working properly",Low
"Rainwater leaking through classroom ceiling",High
"Bad smell coming from garbage area",Medium
"Hostel warden not responding to complaints",High
"Broken tiles on corridor floor",Low
"Library chairs are damaged",Low
"Delay in issuing books from library",Low
"Chemistry lab safety equipment not available",High
"Medical room doctor unavailable during emergency",High
"Classroom door not closing properly",Low
"Cracked whiteboard in classroom",Low
"Bus driver driving recklessly",High
"Sports ground not maintained properly",Medium
"Projector remote missing",Low
"Canteen serving stale food",High
"Water tank not cleaned regularly",Medium
"Hostel rooms not cleaned",Medium
"Dirty washrooms on second floor",High
"Computer lab mouse/keyboard not working",Medium
"Hostel laundry machine broken",High
"Students smoking in campus",High
"Dog entering classroom",Low
"Library internet very slow",Medium
"Bus AC not working",Medium
"Broken cupboard in hostel room",Low
"Very long queues in canteen",Low
"Washroom water pressure too low",Medium
"Hostel power cut frequently",High
"Foul smell from drainage",High
"CC camera not working in hallway",High
"Hostel food always too oily",Medium
"Canteen prices too high",Low
"Computer lab chairs broken",Low
"Teacher not coming to class regularly",Medium
"Lab assistant not helping students",Low
"Hostel iron box not working",Low
"Fire alarm malfunctioning",High
"First aid box empty",High
"Water purifier not working",High
"Classroom too hot even with fan",Medium
"Bus too crowded",Low
"Road outside college filled with potholes",Medium
"Billing mistakes in canteen",Low
"Canteen hygiene not maintained",High
"Stray dogs near hostel block",Low
"Lab computers outdated and slow",Medium
"No parking for bicycles",Low
"Hostel cupboard lock broken",Low
"WiFi disconnecting every few minutes",High
"Power sockets loose in classroom",Medium
"Mess food undercooked",Medium
"Sports period cancelled often",Low
"Clogged washroom drains",High
"Water overflowing from tank",High
"Classroom fan completely dead",Medium
"Frequent outages during class",High
"Canteen given wrong bill",Low
"Hostel supervisor rude behavior",High
"Too much noise in corridor",Low
"Gate security not checking ID properly",Medium
"Exam form portal not working",High
"Lab printer out of ink",Low
"Counselor room always locked",Medium
"Seminar hall microphone not working",Medium
"Bike stand too far from main gate",Low
"Broken staircase railing",High
"Laundry service delaying clothes",Medium
"Incorrect marks updated in portal",High
"Mess food too spicy",Low
"Drinking water shortage",High
"Water taps leaking continuously",Medium
"Library staff not cooperative",Medium
"Power backup not working during outage",High
"Delay in issuing ID cards",Low
"Sports ground lighting poor",Medium
"Fountain water dirty",Low
"Bus conductor rude behavior",Medium
"Exam hall fans not working",High
"Computer OS outdated",Medium
"Lab AC not turning on",High
"Hostel pillows not clean",Low
